Prêmio,Resultado,Bicho
1º,6683,21 Touro
2º,3014,04 Borboleta
3º,0008,02 Águia
4º,6557,15 Jacaré
5º,0806,02 Águia
6º,6306,02 Águia
7º,6005,02 Águia
8º,8105,02 Águia
9º,3487,22 Tigre
10º,0971,18 Porco
1º,0394,24 Veado
2º,6772,18 Porco
3º,0491,23 Urso
4º,1649,13 Galo
5º,0235,09 Cobra
6º,0601,01 Avestruz
7º,3746,12 Elefante
8º,9794,24 Veado
9º,4219,05 Cachorro
10º,7901,01 Avestruz
1º,7814,04 Borboleta
2º,8231,08 Camelo
3º,5550,13 Galo
4º,6583,21 Touro
5º,0529,08 Camelo
6º,7856,14 Gato
7º,8255,14 Gato
8º,1358,15 Jacaré
9º,4103,01 Avestruz
10º,0279,20 Peru
1º,6181,21 Touro
2º,9967,17 Macaco
3º,8167,17 Macaco
4º,1964,16 Leão
5º,4686,22 Tigre
6º,6981,21 Touro
7º,1919,05 Cachorro
8º,8666,17 Macaco
9º,1774,19 Pavão
10º,0305,02 Águia
1º,6076,19 Pavão
2º,3219,05 Cachorro
3º,1234,09 Cobra
4º,5184,21 Touro
5º,3215,04 Borboleta
6º,6315,04 Borboleta
7º,0221,06 Cabra
8º,7138,10 Coelho
9º,6944,11 Cavalo
10º,9546,12 Elefante
1º,8720,05 Cachorro
2º,3196,24 Veado
3º,7555,14 Gato
4º,2201,01 Avestruz
5º,1905,02 Águia
6º,8372,18 Porco
7º,7152,13 Galo
8º,2950,13 Galo
9º,0651,13 Galo
10º,2702,01 Avestruz
1º,4659,15 Jacaré
2º,1972,18 Porco
3º,3403,01 Avestruz
4º,5214,04 Borboleta
5º,0111,03 Burro
6º,4135,09 Cobra
7º,6942,11 Cavalo
8º,5701,01 Avestruz
9º,9234,09 Cobra
10º,1371,18 Porco
1º,1881,21 Touro
2º,3203,01 Avestruz
3º,6107,02 Águia
4º,7753,14 Gato
5º,1064,16 Leão
6º,1367,17 Macaco
7º,8217,05 Cachorro
8º,8005,02 Águia
9º,1373,19 Pavão
10º,8970,18 Porco
1º,9739,10 Coelho
2º,1279,20 Peru
3º,5225,07 Carneiro
4º,9624,06 Cabra
5º,7137,10 Coelho
6º,9159,15 Jacaré
7º,7226,07 Carneiro
8º,3722,06 Cabra
9º,9954,14 Gato
10º,3065,17 Macaco
1º,5997,25 Vaca
2º,5988,22 Tigre
3º,1352,13 Galo
4º,7966,17 Macaco
5º,8299,25 Vaca
6º,5517,05 Cachorro
7º,9939,10 Coelho
8º,9856,14 Gato
9º,7826,07 Carneiro
10º,2740,10 Coelho
1º,9517,05 Cachorro
2º,6428,07 Carneiro
3º,6026,07 Carneiro
4º,0328,07 Carneiro
5º,2582,21 Touro
6º,9660,15 Jacaré
7º,5403,01 Avestruz
8º,1222,06 Cabra
9º,7868,17 Macaco
10º,9034,09 Cobra
1º,4596,24 Veado
2º,0263,16 Leão
3º,7076,19 Pavão
4º,9744,11 Cavalo
5º,1357,15 Jacaré
6º,4079,20 Peru
7º,5207,02 Águia
8º,9674,19 Pavão
9º,6364,16 Leão
10º,8360,15 Jacaré
1º,5600,25 Vaca
2º,9142,11 Cavalo
3º,1999,25 Vaca
4º,8194,24 Veado
5º,2838,10 Coelho
6º,5918,05 Cachorro
7º,6191,23 Urso
8º,0499,25 Vaca
9º,0294,24 Veado
10º,0675,19 Pavão
1º,8986,22 Tigre
2º,4930,08 Camelo
3º,8966,17 Macaco
4º,1083,21 Touro
5º,4460,15 Jacaré
6º,8481,21 Touro
7º,9990,23 Urso
8º,8368,17 Macaco
9º,6063,16 Leão
10º,1327,07 Carneiro
1º,7909,03 Burro
2º,1710,03 Burro
3º,3456,14 Gato
4º,9017,05 Cachorro
5º,9378,20 Peru
6º,7139,10 Coelho
7º,9740,10 Coelho
8º,0151,13 Galo
9º,9067,17 Macaco
10º,7567,17 Macaco
